Tweet,label,processed,processed_text
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,anger,"['gua', 'nyerah', 'joki', 'aja', 'kali', 'tugas', 'poem', 'allah', 'kenapa', 'aku', 'bego', 'b', 'ing']",gua nyerah joki aja kali tugas poem allah kenapa aku bego b ing
hah? kaya dendam bnaget sama ibu,anger,"['hah', 'kaya', 'dendam', 'bnaget', 'sama', 'ibu']",hah kaya dendam bnaget sama ibu
huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,anger,"['huahh', 'benci', 'covid', 'bangett', 'moga', 'henti', 'jimin', 'tidak', 'jungkook', 'juga', 'taehyung', 'no', 'god', 'pliss']",huahh benci covid bangett moga henti jimin tidak jungkook juga taehyung no god pliss
"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",anger,"['benci', 'banget', 'sama', 'diri', 'sendiri', 'gampang', 'nang', 'kalo', 'ngobrol', 'sama', 'orang', 'tua']",benci banget sama diri sendiri gampang nang kalo ngobrol sama orang tua
"ni geng lgbt patutle. libtard, gay, bodoh, tahi",anger,"['ni', 'geng', 'lgbt', 'patutle', 'libtard', 'gay', 'bodoh', 'tahi']",ni geng lgbt patutle libtard gay bodoh tahi
iya ni tvn kan suka memancing emosi penonton,anger,"['iya', 'ni', 'tvn', 'kan', 'suka', 'pancing', 'emosi', 'tonton']",iya ni tvn kan suka pancing emosi tonton
sei ini ya gue baru bangun tidur udh bikin emosi aja,anger,"['sei', 'saya', 'baru', 'bangun', 'tidur', 'bikin', 'emosi', 'aja']",sei saya baru bangun tidur bikin emosi aja
mau marah bangeett kenapa orang orang jahat bgt si,anger,"['mau', 'marah', 'bangeett', 'kenapa', 'orang', 'orang', 'jahat', 'banget', 'si']",mau marah bangeett kenapa orang orang jahat banget si
kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,anger,"['kadang', 'suka', 'emosi', 'baca', 'begini', 'tapi', 'orang', 'goblog', 'emang', 'susah', 'kalo', 'ajak', 'ngobrol']",kadang suka emosi baca begini tapi orang goblog emang susah kalo ajak ngobrol
si mutajir mancing emosi sih pagi2,anger,"['si', 'mutajir', 'mancing', 'emosi', 'sih', 'pagi2']",si mutajir mancing emosi sih pagi2
udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol,anger,"['saya', 'baca', 'panjangpanjang', 'kirain', 'analisis', 'bakal', 'boom', 'ternyta', 'hanya', 'hasil', 'pikir', 'otak', 'pendek', 'tolol']",saya baca panjangpanjang kirain analisis bakal boom ternyta hanya hasil pikir otak pendek tolol
emosi bung,anger,"['emosi', 'bung']",emosi bung
mvp pun kene marah tak capai kpi ke ?,anger,"['mvp', 'pun', 'kene', 'marah', 'tak', 'capai', 'kpi']",mvp pun kene marah tak capai kpi
opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini,anger,"['opini', 'lu', 'jelek', 'bro', 'tutup', 'keburu', 'dg', 'agama', 'lu', 'benar', 'poligami', 'hindar', 'zina', 'tolol', 'palkon', 'banyak', 'bacot', 'ttg', 'agama', 'gin']",opini lu jelek bro tutup keburu dg agama lu benar poligami hindar zina tolol palkon banyak bacot ttg agama gin
kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet. emosi kan gue ajgg,anger,"['kapan', 'manajemen', 'rs', 'ubah', 'biar', 'tidak', 'lempar', 'lempar', 'gin', 'anjimm', 'orang', 'rs', 'tuh', 'butuh', 'tangan', 'cepet', 'bukan', 'bolak', 'balik', 'ribet', 'emosi', 'kan', 'saya', 'ajgg']",kapan manajemen rs ubah biar tidak lempar lempar gin anjimm orang rs tuh butuh tangan cepet bukan bolak balik ribet emosi kan saya ajgg
dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?,anger,"['turun', 'ayam', '2', 'kupang', 'baik', 'buat', 'polisi', 'maju', 'industri', 'sumber', 'makan', 'negara', 'kita', 'negara', 'tropika', 'kot', 'apa', 'jadah', 'harap', 'makan', 'terna', 'import', 'bodoh', 'sangat', 'orang', 'malaysia', 'sampai', 'dedak', 'ayam', 'pun', 'tak', 'boleh', 'buat', 'sendiri']",turun ayam 2 kupang baik buat polisi maju industri sumber makan negara kita negara tropika kot apa jadah harap makan terna import bodoh sangat orang malaysia sampai dedak ayam pun tak boleh buat sendiri
unesco org arab hahaa kata yg benci anis,anger,"['unesco', 'org', 'arab', 'hahaa', 'kata', 'benci', 'anis']",unesco org arab hahaa kata benci anis
"satu kata jangan mengundi , sebab semua bodoh",anger,"['satu', 'kata', 'jangan', 'undi', 'sebab', 'semua', 'bodoh']",satu kata jangan undi sebab semua bodoh
"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!",anger,"['diam', 'adalah', 'jawab', 'baik', 'hadap', 'orang', 'bodoh']",diam adalah jawab baik hadap orang bodoh
"sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011",anger,"['sangat', 'tolol', 'bbm', 'langkaberas', 'mahal', 'cuma', 'sarap', 'jagung', 'ubi', 'belum', 'berangkat', 'sekolah', 'sekitar', '2006', 'sampai', '2011']",sangat tolol bbm langkaberas mahal cuma sarap jagung ubi belum berangkat sekolah sekitar 2006 sampai 2011
bangsat ini akun sy di hack kah?,anger,"['bangsat', 'akun', 'saya', 'hack', 'kah']",bangsat akun saya hack kah
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.",anger,"['kakak', 'saya', 'umur', '33', 'harus', 'manggil', 'saya', 'umur', '23', 'apa', 'anjrit', 'kalo', 'bukan', 'adek', 'oh', 'saya', 'anak', 'tunggal', 'anak', 'perempuan', 'satu', 'lagi', 'punya', 'ayah', 'ibu', 'saya', 'gitu', 'tolol', 'ih']",kakak saya umur 33 harus manggil saya umur 23 apa anjrit kalo bukan adek oh saya anak tunggal anak perempuan satu lagi punya ayah ibu saya gitu tolol ih
ni betul2 punya marah..,anger,"['ni', 'betul2', 'punya', 'marah']",ni betul2 punya marah
"ternyata ada yg lebih bego dari aku, jauh malah",anger,"['nyata', 'lebih', 'bego', 'aku', 'jauh', 'malah']",nyata lebih bego aku jauh malah
harus nya dihukum mati itu bangsat. rusak nama sumut karena dia,anger,"['harus', 'hukum', 'mati', 'bangsat', 'rusak', 'nama', 'sumut', 'dia']",harus hukum mati bangsat rusak nama sumut dia
hmm siapa lagi yg harus aku benci,anger,"['hmm', 'siapa', 'lagi', 'harus', 'aku', 'benci']",hmm siapa lagi harus aku benci
tyhan gue ga kuat banget bangsat,anger,"['tyhan', 'saya', 'tidak', 'kuat', 'banget', 'bangsat']",tyhan saya tidak kuat banget bangsat
sumpah gw emosi banget yoo,anger,"['sumpah', 'saya', 'emosi', 'banget', 'yoo']",sumpah saya emosi banget yoo
yg dinamakan org prik bin tolol,anger,"['nama', 'org', 'prik', 'bin', 'tolol']",nama org prik bin tolol
ini faisal basri ngga lagi kena stroke kan? atau tiba2 mental retarded? ciri khas jokowi? ketukar sama sby pak faisal. jgn bangsat drun.,anger,"['faisal', 'basri', 'tidak', 'lagi', 'kena', 'stroke', 'kan', 'tiba2', 'mental', 'retarded', 'ciri', 'khas', 'jokowi', 'tukar', 'sama', 'sby', 'pak', 'faisal', 'jgn', 'bangsat', 'drun']",faisal basri tidak lagi kena stroke kan tiba2 mental retarded ciri khas jokowi tukar sama sby pak faisal jgn bangsat drun
dipta kamu jangan bego bisa ga?,anger,"['dipta', 'kamu', 'jangan', 'bego', 'bisa', 'tidak']",dipta kamu jangan bego bisa tidak
iya anjrott jangan jangan dia punya dendam sama gue ya,anger,"['iya', 'anjrott', 'jangan', 'jangan', 'dia', 'punya', 'dendam', 'sama', 'saya']",iya anjrott jangan jangan dia punya dendam sama saya
"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol",anger,"['apa', 'beda', 'coba', 'awal', 'chat', 'huruf', 'kapital', 'apa', 'engga', 'sahabat', 'kamu', 'tolol']",apa beda coba awal chat huruf kapital apa engga sahabat kamu tolol
"bangsat, mang lu udah?",anger,"['bangsat', 'mang', 'lu']",bangsat mang lu
"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah",anger,"['saya', 'bisa', 'masak', 'saya', 'bekal', 'main', 'benda', 'tajam', 'minyak', 'panas', 'tolong', 'harga', 'saya', 'jangan', 'bikin', 'saya', 'marah']",saya bisa masak saya bekal main benda tajam minyak panas tolong harga saya jangan bikin saya marah
bego ya begi diba astaga,anger,"['bego', 'begi', 'diba', 'astaga']",bego begi diba astaga
gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.,anger,"['saya', 'baik', 'tapi', 'saya', 'tidak', 'tolol', 'moga', 'orang', 'tua', 'saya', 'sehat', 'terus', 'lancar', 'rejeki', 'biar', 'tidak', 'usah', 'saya', 'ngandelin', 'sodara', 'kaya', 'anjing']",saya baik tapi saya tidak tolol moga orang tua saya sehat terus lancar rejeki biar tidak usah saya ngandelin sodara kaya anjing
bangsat,anger,['bangsat'],bangsat
"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?",anger,"['eh', 'kau', 'tidak', 'pernah', 'rancang', 'jatuh', 'orang', 'kau', 'benci', 'perempuan', 'lain', 'kah']",eh kau tidak pernah rancang jatuh orang kau benci perempuan lain kah
hah bodoh kali kau pantek,anger,"['hah', 'bodoh', 'kali', 'kau', 'pantek']",hah bodoh kali kau pantek
emosi mlu nnti jd burag loh,anger,"['emosi', 'mlu', 'nnti', 'jd', 'burag', 'loh']",emosi mlu nnti jd burag loh
yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue,anger,"['yaa', 'kann', 'tidak', 'ngerasa', 'cape', 'cuman', 'lari', 'lot', 'bangett', 'emosi', 'saya']",yaa kann tidak ngerasa cape cuman lari lot bangett emosi saya
shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo,anger,"['shipper', 'belah', 'kalo', 'tidak', 'suka', 'sama', 'noren', 'tidak', 'ush', 'mampir', 'uda', 'tau', 'benci', 'sama', 'noren', 'malah', 'baca', 'au', 'kocak', 'banget', 'lo']",shipper belah kalo tidak suka sama noren tidak ush mampir uda tau benci sama noren malah baca au kocak banget lo
tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu,anger,"['tak', 'sempat', 'la', 'ni', 'nak', 'balas', 'dendam', 'minggu', 'depan', 'mesti', 'sakit', 'dh', 'hilang', 'time', 'tu']",tak sempat la ni nak balas dendam minggu depan mesti sakit dh hilang time tu
"islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya.",anger,"['islamofobisbuzzerp', 'yaitu', '1', 'njing', 'pil', 'komunis', 'laku', 'maksiat', 'ingin', 'cari', 'benar', 'atas', 'laku', '2', 'bbi', 'kafir', 'cundang', 'debat', 'teologis', 'scr', 'akademis', 'ingin', 'lampias', 'dendam', 'kalah']",islamofobisbuzzerp yaitu 1 njing pil komunis laku maksiat ingin cari benar atas laku 2 bbi kafir cundang debat teologis scr akademis ingin lampias dendam kalah
iya juwi emosi nih gw pagi2,anger,"['iya', 'juwi', 'emosi', 'nih', 'saya', 'pagi2']",iya juwi emosi nih saya pagi2
aku benci kata jenuh,anger,"['aku', 'benci', 'kata', 'jenuh']",aku benci kata jenuh
gw benci sekolah,anger,"['saya', 'benci', 'sekolah']",saya benci sekolah
bacoot kadrun emang bangsat,anger,"['bacoot', 'kadrun', 'emang', 'bangsat']",bacoot kadrun emang bangsat
bangsat masih berani main sosmed,anger,"['bangsat', 'masih', 'berani', 'main', 'sosmed']",bangsat masih berani main sosmed
ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.,anger,"['ajar', 'kepada', 'anak', 'lelaki', 'tolong', 'opini', 'jangan', 'lewat', 'tolol']",ajar kepada anak lelaki tolong opini jangan lewat tolol
km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha,anger,"['kamu', 'nyinyirn', 'q', 'sma', 'antek2', 'harap', 'q', 'marah', 'tenang', 'q', 'punya', 'jurus', 'jitu', 'q', 'bales', 'pake', 'solawatan', 'dzolim', 'kesel', 'sendiri', 'kan', 'hahaha']",kamu nyinyirn q sma antek2 harap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha
gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,anger,"['gausah', 'kaget', 'kalau', 'tiba2', 'saya', 'benci', 'sama', 'sodara', 'saya', 'dasar', 'orang', 'gatau', 'diri', 'benalu', 'kacang', 'lupa', 'kulit', 'bajing', 'sama', 'sodara', 'sendiri']",gausah kaget kalau tiba2 saya benci sama sodara saya dasar orang gatau diri benalu kacang lupa kulit bajing sama sodara sendiri
hahah bangsat,anger,"['hahah', 'bangsat']",hahah bangsat
"ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi.",anger,"['ha', 'tuh', 'lu', 'doang', 'tau', 'definisi', 'adek', 'tidak', 'sih', 'lu', 'ilah', 'bikin', 'emosi']",ha tuh lu doang tau definisi adek tidak sih lu ilah bikin emosi
"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja",anger,"['nnton', 'sis', 'masih', 'on', 'going', 'emosi', 'mulu', 'yah', 'sekarang', 'nntonnya', 'udahlah', 'ikutin', 'aja']",nnton sis masih on going emosi mulu yah sekarang nntonnya udahlah ikutin aja
"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.",anger,"['kenapa', 'agama', 'lurus', 'dr', 'tuhan', 'yme', 'bs', 'jadi', 'bengkok', 'hingga', 'bermacam2', 'sebab', 'krn', 'org2', 'bodoh', 'sesat', 'spt', 'sdh', 'banyak', 'dr', 'zaman', 'dl', 'namun', 'motif', 'tetap', 'sama', 'yaitu', 'utk', 'penting', 'perut', 'sekitar']",kenapa agama lurus dr tuhan yme bs jadi bengkok hingga bermacam2 sebab krn org2 bodoh sesat spt sdh banyak dr zaman dl namun motif tetap sama yaitu utk penting perut sekitar
"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya",anger,"['dpt', 'mimpi', 'dukung', 'keparnoan', 'bangun2', 'bangsat', 'banget', 'bete', 'au', 'ah', 'mending', 'tidak', 'usah', 'tdr', 'apa']",dpt mimpi dukung keparnoan bangun2 bangsat banget bete au ah mending tidak usah tdr apa
haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah,anger,"['haah', 'ajar', 'chargeman', 'a1', 'sekali', 'kerja', 'amik', 'former', 'kat', 'kilang', 'worker', 'orang', 'atas', 'kejap', 'okay', 'kejap', 'tak', 'okay', 'nak', 'ikut', 'cakap', 'dia', 'macam', 'kerja', 'tak', 'pernah', 'siap', 'kimak', 'semua', 'kerja', 'siap', 'tapi', 'bodoh', 'nak', 'pekak', 'jugak', 'baruah']",haah ajar chargeman a1 sekali kerja amik former kat kilang worker orang atas kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak semua kerja siap tapi bodoh nak pekak jugak baruah
"woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan",anger,"['woii', 'bodok', 'klo', 'semua', 'komplain', 'beropiniberargumenberpendapat', 'dkk', 'mngenai', 'kbijakan', 'perintah', 'buat', 'apa', 'pileg', 'dlakukn', 'goblok', 'pelihara', 'lu', 'laku', 'malah', 'buat', 'anggota', 'legislatif', 'hormat', 'makan', 'gaji', 'buta', 'tolol', 'dapat', 'aggota', 'dewan', '10x', 'gaji', 'umr', 'tiap', 'bulan']",woii bodok klo semua komplain beropiniberargumenberpendapat dkk mngenai kbijakan perintah buat apa pileg dlakukn goblok pelihara lu laku malah buat anggota legislatif hormat makan gaji buta tolol dapat aggota dewan 10x gaji umr tiap bulan
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang,anger,"['serah', 'masa', 'bodoh', 'jika', 'kamu', 'tidak', 'suka', 'bahkan', 'benci', 'rasa', 'kesal', 'belum', 'juga', 'hilang']",serah masa bodoh jika kamu tidak suka bahkan benci rasa kesal belum juga hilang
jangan sampai rakyatÂ benci,anger,"['jangan', 'sampai', 'rakyat', 'benci']",jangan sampai rakyat benci
"gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo",anger,"['saya', 'kira', 'menfess', 'sblmnya', 'lu', 'mau', 'ngejokes', 'trnyata', 'bego', 'beneran', 'wkwk', 'lo', 'tidak', 'tau', 'definisi', 'adik', '', 'gimana', 'semua', 'org', 'nyebut', 'saudara', 'kandang', 'lebih', 'muda', 'adik', '', 'tidak', 'usah', 'nyuruh2', 'org', 'buat', 'ngaku', 'deh', 'lo', 'doang', 'mikir', 'bgtu', 'bego', 'tidak', 'jelas', 'lo']",saya kira menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo tidak tau definisi adik  gimana semua org nyebut saudara kandang lebih muda adik  tidak usah nyuruh2 org buat ngaku deh lo doang mikir bgtu bego tidak jelas lo
marah btol bang,anger,"['marah', 'btol', 'bang']",marah btol bang
"auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.",anger,"['auto', 'belit', 'apa', 'mmg', 'ah', 'dia', 'org', 'marah', 'bila', 'kena', 'kencing', 'oleh', 'gov', 'india', 'indira', 'gandhi', 'guna', 'perkara', 'sbg', 'peluang', 'politikus', 'dia', 'sebab', 'ltte', 'bunuh', 'indira', 'gandhi', 'ko', 'pergi', 'baca', 'sejarah', 'kenapa', 'ltte', 'tu', 'wujud', 'tak', 'sama', 'langsung', 'mcm', 'talib']",auto belit apa mmg ah dia org marah bila kena kencing oleh gov india indira gandhi guna perkara sbg peluang politikus dia sebab ltte bunuh indira gandhi ko pergi baca sejarah kenapa ltte tu wujud tak sama langsung mcm talib
cok pagi pagi dibuat emosi,anger,"['cok', 'pagi', 'pagi', 'buat', 'emosi']",cok pagi pagi buat emosi
bersabar dengan emosi yang ada di dalam diri ini.,anger,"['sabar', 'emosi', 'diri']",sabar emosi diri
"benci tasik, benci jakarta",anger,"['benci', 'tasik', 'benci', 'jakarta']",benci tasik benci jakarta
sepertinya opung msh dendam bu,anger,"['seperti', 'opung', 'msh', 'dendam', 'bu']",seperti opung msh dendam bu
aduh bangsat ganteng banget lagi ni orang,anger,"['aduh', 'bangsat', 'ganteng', 'banget', 'lagi', 'ni', 'orang']",aduh bangsat ganteng banget lagi ni orang
paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :),anger,"['paling', 'benci', 'kalo', 'lagi', 'diem', 'terus', 'panik', 'sendiri', 'gatau', 'bingung', 'kenapa']",paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa
kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,anger,"['kalau', 'cerita', 'kat', 'laki', 'aku', 'pasal', 'mimpi', 'malam', 'td', 'mesti', 'kena', 'marah']",kalau cerita kat laki aku pasal mimpi malam td mesti kena marah
