text,label
ngeliat story mantan lagi nikahan gini doang nih rasanya? yaelah biasa aja gaada sedih sedihnya. gatau dah mantan yang laen mah,neutral
suka banget cara jalan dia,love
takut :(,fear
jelas agar orang ngga takut sama tni..,neutral
biasa a mu nya kalah,neutral
sabar jangan pake emosi,neutral
"kaget plus deg-degan pas ada pelanggan cewek yang negur saya pas lagi nongkrong di cafe. kayaknya si anak kedokteran ya, bening sama cantik bat, heran. mana suaranya lembut bat lagi, jadi keinget suaranya kak yessica",fear
"me tp kazuha ganti yae, alias takut tp ttp percaya diri",fear
"iya, rupanya enak cosplay jadi nasa",joy
hahah bangsat,anger
bikin gue emosi aj,anger
"maaf tadi awal liat ketawa. kirain lagi cosplay jadi pocong. pas tau emang emengnya meninggal, jadi sedih. maafkeun ya emeng",sad
mau check out takut tidak kretek tulang punggung. dilema jadi muda mudi jompo wkwk,fear
"kecantol lah ama suara jae karena suara dia tuh tipe tipe suara yang aku suka dari dulu dan mulai itu aku jadi kepo perform mereka kayak gimana, dan makin jatuh cinta sama jae karena permainan gitar nya dan yang paling bikin aku jadi jatuh cinta ke jae beneran adalah",love
"enemy to loversnya bukan yang ""omg dulu gue benci dia tapi gegara dia bantuin gue kok gue degdegan sih ternyata dia gak seburuk yang gue kira"" tapi yang ""gue benci sama lo tapi kalau lo mati gue bakal ngehidupin lo lagi dan ngebunuh lo dengan tangan gue sendiri""",anger
"puas harini boleh lepas dendam, selalu mai kerja hari sabtu jaa duk syok tengok org seberang rancak punya duk jogging apa.. settle 2 round arini alhamdulillah",joy
tapi mnrtku ga aneh nder normal aja,neutral
bangst gue 'enjoy' bersedih-sedih. karena gue suka menahan diri untuk gak bersedih atau nangis. stress relief ku adalah kisah angst,sad
"waktunya kurang tepat kalo mau ke indo apalagi disini masih meningkat tuh cvd, aku takut dia knp knp, apalagi akhir akhir ini jadwal dia banyak banget ,cukup di korea aja jangan ke indo dulu semoga",fear
dan juga suka kasih something biar kamu bisa seneng kalau pacaran sama aku atau maybe nanti aku jd abang kamu bisaa. untuk avail nya aku hari ini bisa kok kalau tertarik langsung check atau dm ke agensi aku,love
yok semangat yok kaa xixi,joy
siap tolol,anger
itu serius mba denise keluar?? sedih banget tolong walaupun w bukan fansnya ss tapi gue ikut sedih,sad
"wajar kok ver, kemaren juga ku liat tiktok lama private school check yang dibikin sama salah satu anak angkatanku, kangen banget liat kelas, pengen ngobrol2 di sana lagi tapi mana mungkin wkwkw sama bangett suka nyatu2in meja gituu biar enak ngobrolnya",love
"kadang juga di kasih target yg lebih tinggi,dg adendum siap resign atau mengundurkan diri dg suka rela tanpa tuntutan apapn kpd perusaahaan kalo tdk bisa mencapai target dari peeusahaan,dan itu ditandatangani diatas materai",neutral
senang banget pagi pagi dapat yang manis manis ue ue,joy
"bulu-bulu mereka jadi tempat penampung tangis dan air mata haha bener bangett. walaupun ga mudah perjuangannya buat bikin mereka hidup tetap sehat dan bahagia sampai akhir, it's all worth it. very much. to be able to provide them with happiness, padahal sebelumnya tidak seperti itu",neutral
kemaren nangis kangen jimin skrg dapat kabar dia sembuh puji tuhan banget,joy
"tinggalin bbg komentar penyemangat/penenang buat member entah di komenan fancam, pm, ig mereka masing2, twt, dll. kita gabisa bikin haters suka sm member, tp kita bisa naikin rasa sayang kita ke member! let's be busy loving each other like this ive-dive!!",love
dear cowo : kenapa si kalian suka banget ga gasi kejelasan sama cewe apa kalian itu aslinya lagi deket sama banyak cewe dan ga mau mereka hilang,love
semangat!!,joy
"iya iyaang.. mau reply biasa gw kong tapi gw tag bapak ade,takut nganu nanti",fear
"sekarang kalau upf fee di awal aja kali ya, ngeri bgt hnr",fear
"piw hai sender sini sama kala ganteng wkwk avail hari ini dan bisa req ava jugaa plus bisa provide nsfw mau imagine atay dirty talk baik frontal ataupun non frontal bisa kok jadi kamu tinggal mau req yang mana silahkaan , aku juga tipikal pacaran itu suka banget bawel",love
"sumpah gue benci banget orang kaya gini.. kalau g suka lebih baik diam drpd melakukan sesuatu yg bikin sakit hati, kl ibunya sampai tau gimana sakit nya anaknya digituin mb nya udah sempurna apa? benci banget sama org yg mandang fisik",anger
mereka suka playvic gitu knpsi sumpah pajamas kesel banget. nanti merembet kemana mana ya kayak semalem ngebela th dibilang solo stan kan anehh,anger
ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan,sad
gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.,anger
"pemenang : dapat bersyukur saat kecewa. dapat tersenyum saat terluka. dapat bangkit, ketika terjatuh.",neutral
"nelayan sejahtera, rakyat bahagia..semangaatt gus ketum",joy
"gimana ngga makin sayang. ya dia brti pgen orang"" mengapresiasi karya dia bukan lewat penjualan album. dia jg tau klo album fisik ""nct"" emang paling bikin melarat wqwq. setaun normal album 2 jenis per unit, ada 3 unit. belom yg project besar nya. wqwq",neutral
wah ngeri nih sesepuh ternyata,fear
"sebenarnya.. aku ragu. tapi baiklah. dia mengulurkan tangannya malu-malu pada sang kawan. ""jangan bawa aku ke tempat yang aneh-aneh, ya.""",neutral
"mau tanya, kalian lebih suka /bw kalo di au tuh yg seumuran/ si bright lebih tua jd manggil kakak gitu. bimbang banget",fear
"dalam cinta, jangan pernah meninggalkan seseorang yg kamu cinta hanya untuk seseorang yg kamu pikir kamu suka.",neutral
"semangat dhii, rest well ya",joy
"wajar sih, disini yg kelahiran 98 terus baru masuk sma dan langsung pake kurikulum 2013 sedih karena gw ga bisa show up skill gw di bidang komputer sama temen kelas yg lain. padahal gw anak warnet bngt",sad
"dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja.",anger
"sebagai pembaca setia webtoonnya, aku gak suka banget sama dramanya, apalagi endingnya. jelek. puol. rating dariku 3/5, tapi tiap orang punya preferensi masing-masing yaa",love
"ga adaa!! barusan bgt jatohin pot bunga bokap, gue dimarahin dia cmn duduk santai di deket pot bunga ntu",sad
dia anaknya juga jago banget gombal 11 12 sama ayem. aku takut meleyot,fear
wkwkwk takut bgt digigit lgi,fear
"dah dekat 2 tahun jadi kerajaan, baru nak cakap tak setuju. kata tak setuju dari awal. so patutnya tak payah la terlibat terus. bodoh.",anger
sepi dagangan btw wkwk apa masih imlekan ya wkwkw,joy
siaapp. semangat sllu yulin,joy
"sumpah ya gue sampe takut tiap papasan sama ayam, pasti ngelambat. soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang",fear
"emang kagak biasa nih pelet, sakti amat dah",neutral
lebih enak lg kalo mutualan,neutral
"percayalah tidak ada wanita yang baik-baik saja, ketika mengetahui pasangannya berkomunikasi dengan mantannya",neutral
"penggemar masker miisoo cek suka banget sama masker ini, bahan dalamnya lembut enak banget gak bikin gatel. walaupun longgar tapi bisa diakalin talinya diiket biar rapet.",love
"nah, bisa dijadiin pelajaran banget nih. kita ga akan tau ketikan yg kita tuju ke orang tuh bikin sakit hati atau ngga. seenggaknya klo ga suka, bisa pake cara yg lebih halus lg. jgn kesannya ky menjudge. lyra keren, dr sakit hatinya, dia malah jd sukses proud of you ra",love
"akhirnya bisa ngeliat bapak anak ini satu projects lagi,, suka banget gulf kanawut",love
"happy milad ya uni ku .insya allah diberikan umur yang panjang,diberikan kesehatan selalu,keselamatan,bahagia dunia akhirat untuk uni&keluarga.tetap semangat uni ku&tetap berjuang bela rakyat jelata",joy
bukan hanya seperti hotel..tempat hiburan atau kuburan..shg sepi dari ibadah,neutral
sengaja dibiarkan soalnya takut melanggar ham,fear
"kalo skarang bakwaan! dulu gue ga suka banget bakwan, lebih suka risol. tp skarang bakwan selalu!",love
kelakuan temenku tuh suka kek gitu.. bilangnya otw eh tau taunya lama banget :),anger
"media official tv nasional kok ikutan ng goreng eh maklum kan udah sepi, jadi ikutan ngegosip",neutral
makanya orang tuh kok ya aneh banget. suka overthinking gak jelas trus ngajak2 orang lain. jadi heboh sendiri,anger
"kalo emak ku koleksi kopi top yg gratis gelas kata mas kopi nya enak, yaudah ibuk beli, sekalian dapet gelas nya",neutral
biasa sj. biar bunuh org pun nm y cebong pasti bnr.. coz cebong sdh jd tuhan y rezim. sabar sj yg waras,neutral
"eh aku ganti dn, masi kenal gakk? lagi suka banget sama nama panggilan ai sksk",love
gak suka banget kalau ujung2nya kek ngebandingin kerja keras orang. kek apa anjer masing2 orang udah kerja keras sebisa mereka,anger
"ya karena,aku gk suka cinta cintaan",neutral
cerah ya,joy
aku hanya manusia biasa yang tak sempurna adn kadang salah..,neutral
ini adalah satu ide yang keluar saat aku lagi berpikir keras untuk ide part au mavenzer selanjutnya alias kenapa melenceng ke benci jadi cinta,neutral
ini kcg rumahan ga kemana-mana sama mamanya terus tapi itu lehernya kaya luka. apa karena suka gelut diajarin mamanya itu ya tapi masa sih? kcg! btw itu aku pegang posisi dia nyaman dan bentar kok,fear
sepi,sad
terus masih harus bayar kalau itu beban masih saya maklumi tapi kalau masih di sebut sebagai tagihan yang benar saja,neutral
"rek aku cewek umur 24thn aku diumur segini masih aja dipukulin sama bapakku sendiri. hanya krn masalah sepele, misal salah pake panci buat masak mie. aku dr kecil dah biasa dipukul. dan ibuku malah mengancam2 aku kalo sampe lapor ke siapa aja. aku harus gmn? aku udah menyerah dengan hidup",sad
aku suka loh ama kamu kpn bisa ketemu sayang,love
"kecewa, broken, membuang sedih, membuang masalah, paling parah si pingin move on.",sad
": aku menemukan kentang goreng yang sangat enak : aku akan memberitahu kalian nanti : tunggu saja : tidak sekarang, karena apa saja bisa dijadikan konten : aku akan melakukan apapun dengan diriku sendiri : jadi ini memakan waktu yang lama ^_^",neutral
kyk kalo emg ga ada bs ga sih jgn accept orderan akuu. kan jdnya ngasih harapan palsu. aku gamau kacang ijoo maunya tausaa,fear
setelah putus sama dia 7 tahun lalu kenapa aku masih aja dikasih mimpiin dia :( padahal mikirin dia aja enggak loh :( kan kangen jadinya. apa kabar ya dia sekarang? dia pernah mimpi aku juga gak ya?,neutral
semangat pagi juga,joy
malu. gak fokus.,fear
kgk soalnya aku semangat event,joy
kurang 400k sampe target yoo semangat markf,joy
"iya njir, deobo gada kabar samsek, agak kawtir",fear
sedih amat dh,sad
mimpi nemu collect book yang pas banget aku suka tapi pas bangun lupa bentukannya,love
kok saya tetap sedih ya,sad
"awal2 khwin dlu gi hnymoon kemain berani chck in hotel biasa. tp biasa pun satu mlm tak smpai rm100. selalu oyo lah yg jd pilihan. aku dgn suami mana apply kad nikah. nak apply dkat pjbat agama kulim, depa sruh apply dkat pjbat agama pendang. renyah sngat aihh",neutral
alhamdulillah.. semangat,joy
sedih banget tiapnliat kucing2 yang gue kasih makan suka berantem rebutan. padahal seharusnya mereka semua bekerja sama untuk menggulingkan gue sebagai manusia kapitalis yang memegang kuasa akan sumber makanan mereka.,love
grgr teminum kopi kah jadi gugup tadi?,neutral
"pengen banget bilang suka,tapi apalah daya aku yang gengsian ini '_'",love
saling menyayangi. saling memiliki. saling membutuhkan. saling takut kehilangan. itu yang terpenting.,neutral
yeaa spt biasa,neutral
iyaa. aku juga jadi takut:((,fear
"bagi gua yang taurus, ya taulah kebanyakan taurus tuh keras kepalanya banget banget, egoisnya tinggi, sok cuek padahal mah baperan, kalo soal cinta taurus susah buka hati tapi sekali nemu 1 yang dia suka dan dia sreg dia bakal bucin banget meskipun endingnya putus",neutral
"kalau dari awal nak set senang je, baik awak cari anak orang kaya je. kesel",anger
"random banget gue mimpiin mereka berdua wkwk dulu bucin banget sama film ini, gara gara film ini gue sempet suka film film thailand wkwk",joy
"orang indonesia ga ada takutnya kali cuman gw rasa mereka takut dengan agama baru yg dipaksakan percaya yaitu c19 rokok aja ada label orang sakit tulisan membunuh tetep aja dikonsumsi terus kecelakaan terbanyak adalah motor, usernya makin banyak ada bom aja deketin/kontenin",fear
panik panik ada yg panik,fear
heh crush sya ko lucu banget ya pengen jujur deh sama muhammad kenzie rafael bahwa sya suka sma diaa,love
aku sedih bet,sad
"karena rasanya aib banget gue takut stigma orang2 mandang gue orgil:"") setakut itu padahal sekarang udah banyak banget yg speak up tentang mental illnessnya masing2. makanya gue agak gedeg sama orang2 yg ngaku2 punya mental illness bermodal self diagnose. sedih bgt gue liatnya",fear
"aku gak suka yang bertele tele phi, enaknya makasih na phi! jangan bosen bosen kasih aku makanan dan kawan kawannya",joy
semangat nyatetnya plz plz demi bisa kepilih lomba,joy
lulu bggtt cinta bgtt mana suka sayuran brokoli lucu bgtt gemess selalu kepo endus2,love
"hahaha siap somi, semoga tahun ini somi udah gak sedih sedih lagi ya tinggal bahagianya aja nanti. teteplah kita menjadi badut!",joy
"dan, ada satu sikap yg buat ambisnya dia itu jd kelihatan toxic.. kalau dia kalah dari temen"" yg ranking 10 besar lainnya, dia nangis. aku gatau mngkin mnurut org lain wajar, tp for me ya,engga. mungkin aku kalau jadi dia juga bakal sedih(?) tapi just keep it for myself aja soalnya kadg jengkel juga",sad
"knp au yg ak baca masi pd on going, aku kesal",anger
"pernah, pas ngomong sama twice, aku bilang temen ku suka sama exo ke nayeon, goblog banget anjing, exo mah ke grup exo ya bukan ke twice, mana nayeon mangut mangut kayak bangga",anger
"gini amat punya motor kudu nyuci sendiri, ntr kotor sendiri dhehxhwh kesal",anger
fellychibi aku suka banget sama detik jam |emang kenapa?| iya dia ga pernah lelah berdetik seperti aku yg ga pernah lelah utk mencintai kamu (êƒâ£æª),love
"selamat pagi kk ku,tetap semangat dan ceria kita ya kak",joy
simpati itu teman dan dendam itu musuh ! - kogoro mouri,neutral
"apakah ini pertanda cintaa? getarannya sangat terasa kawan:) hanya melihat senyumnya saja, sudah bisa menaikkan zat glukosa yang ada di tubuhku",love
"kalo dijawabkan dengan member nct. diriku di real life seperti jaemin,di sosmed seperti chenle and haechan. kalo emosi seperti renjun. kelakuan macam jisung. kalau baku hantam ya kek jeno lahh. mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek",joy
"ternyata gue di block sama cowo kr di ig gegara dia pas minta foto yg aneh"" ke gue trs gue tolak, lagian minta foto yg aneh"" mulu dikata gue bego apa",anger
"ngeri x pon, aji mumpung.",fear
"menurut kabar, burung temen ane lagi sakit",neutral
karna gue sedih karna hyunho gue harus bikin au fluffy. yook little blessing markitabuat,sad
"is astagaa pengen beneh mencok aaaaa sesantap, is asinan enak jua gaknya sabar len masih blm buka puasa masih lama",joy
woi ternyata karna akun aku di privat makanya ilang hhahaahahahah maapfin aku twitter!! akunya bego,joy
malah minyak satu harga adanya cuma di awang awang.. kudu produksi sendiri minyaknya..,neutral
hoy tl sepi nih,neutral
ketauan deh biasa searching di search barnya,neutral
kamu kesannya kaya ga butuh aku dude istg its not bcs i dont need you or smth tapi gue cuma gamau dikatain matre. mending ngasih bapak ibu mu karena mereka lebih pantes dapetin itu. kalo mau beliin aku sesuatu boleh tapi jangan sering sering takut beban :((,fear
"obs, aku udah excited banget dari awal, episode 1-3 bahkn aku sampe rewatch karna seru bgt, tp dipertengahan capek, karna aku ga terlalu suka sama drama yg alurnya lambat, kesel sendiri, padahal suka bgt sama choi ung",love
dia biasanya pergi olahraga sendirian,neutral
"pas lewat jg kaget banget, gini banget deh netizen indo sempet record saking kagetnya. beda banget sama komen orang luar. orang tua nya kalo liat terus ditranslate pasti sedih banget",sad
"makin benci dan sebel terhadap agama2 terutama sekali agama yg entu, udah bisanya cuma bikin susah orang, ngga ada gunanya lagi..",anger
"sch! gais tgl 8-15 masih bisa unggah foto kann, td pagi aku unggah foto tapi pas lagi loading malah error, please notice sender panik bgt nihh servernya error",fear
"mau liat air terjun 'kah, mas? wilayah geiranger agak sepi karena penduduknya masih jarang, tapi justru bagus untuk orang-orang yang suka di tempat yang senyap. sayang sekali, kemarin tidak sempat berkunjung kesana.",love
"kalo biasa dengerin apa kata pastor, jangan ngomongin al-qur'an. lompat pagar namanya. jangan jadi begolah",anger
suka banget self pampering nih kak kayaknya?,love
bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!,anger
"seperti biasa, selalu nyoba dari tontonan yt yang viewnya banyak tau taunya kali ini gak mempan",neutral
"sekiranya ig dipegang sm cowonya, jangan followan sm sec acc aing karna gada cowo di sec acc aku dan tbtb cowo tmn w ngeliat gtu aja suka ngelike ngelike. ga banget",anger
twitter makin sepi apa yang fake udah pada mati ya,neutral
"kalo dia marah sampe ngancurin barang kaya hp dia atau apa, plis tinggalin",anger
"yg dibahas cuma masalah ekuivokasi, bib. ceramah orang kita pahami dengan positif lah. kalau yg dipermasalahkan adalah frasa ""pukulan"" tentu maknanya akan bervariasi. secara konteks fikih pun pukulan dibolehkan, tapi yg mendidik bkn mencederai. koreksi saja, bib.",neutral
saya kecewa dengan keputusan tsb,sad
"sender jangan sedih, bisa jd nnt sender langsung diketemuin sama jodoh sender.",sad
om kok nyempil gitu. ngeri om,fear
"takut tapi enak takut tapi dilanjutin, idung belang",fear
"most noticed kulit jadi lebih halus. pori-pori terlihat samar. setiap pagi kulitku terlihat fresh dan plumpy. efek brighteningnya juga ada. aku suka banget hidrasinya. untuk menghilangkan bekas jerawat belum terlihat ya, karena pemakaian juga masih sekitar 3 minggu.worth to try",love
"oematmu tolol sih, gabisa bedain mana bunglon mana asli. kebanyakan halu ngentod ama bidadari transparan ya gini jadinya, otack tydak dipakai ya gesya",anger
gatau anjg kesal,anger
"anggap lah apa sahaja, itu semuanya kami tidak peduli, naikkan harga getah, turunkan harga makanan.. usah kata adab, siap kasih sayang kami bagi",love
aku nak ni bodoh,neutral
"eh sumpah gw panik, udh upload foto ltmpt tp lupa udh gw save blm tp udh di unggah sm udh di crop",fear
aamiin yaa rabbal'aalamiin semangat,joy
gak suka aja karna ini hubungan aku ya aku aja yg perlu tau baik buruknya dia mau kayak apa. ga semua juga bisa diceritain dan aku juga ga suka kalau ada masalah banyak yg ikut campur. mungkin sesekali aja kalau udh mentok banget butuh solusi dan sudut pandang orang lain,sad
pemesanan dgn sistem delivery disarankan dilakukan maks. 1 hari sebelum waktu pengiriman mengingat banyaknya permintaan pesan antar.,neutral
"iya bangett, tapi no wonder sih. mama pas masih muda cantikk banget. pas baru kerja pun, katanya banyak atasannya yg suka. kalo liat album mama pas masih muda, beuh mau nangiss cakep banget mama sama temen-temennya juga cakep-cakep",joy
setahu gue founder partai ummat amien rais dulunya juga lulusan chicago university dan dia sih sah saja ngutip dari manapun,neutral
"kalo w biasanya nyeletuk ""kok sepi apani"" tapi ga kenceng kenceng amat",neutral
gw yakin kedepannya lockey sedih kalo liat gambar ini,sad
sedih banget pls..,sad
hahhaa ngakak banget bin malu pastinya wkwk trs ketauan ga siapa yg cepirit?,joy
":( suka banget sama pemilihan katanya, indah banget huhu",love
semangat setelah sekian lama nggak pernah event aku kak.. t__t,joy
"welcome back denise sedih bgt baca pengumuman dr kamu pagi ini, apalagi liat insta story km yg foto sm member but, walaupun kalian terpisah sekarang, aku akan tetap selalu dukung kalian.",sad
"kalo bocah koar koar kasih bukti aja biar diem, gua gak suka kedamaian",anger
maksud loo?? ngajak ribut? matcha enak banget woyy!!,anger
sedih banget anna:((,sad
"aqil lagi kurang enak badan, dari kmrn siang dia pilek. kasian malam susah tidur karena mampet",sad
takut positif trs gbs skolah hhshshhdhshdhsh mau nangis aja sumpahh pdhal aku masuk angin anjir,fear
fans suka nuntut ini itu tp gatau kerja keras staff dibalik layar. idol2 jype aja selalu berterima kasih loh ke staff mreka dan jyp pdnim tiap dpt penghargaan. jd syukuri hal sekecil apapun. kritik boleh bego jangan.,love
pagi-pagi udh dibikin emosi aja ama skuad ferrari.,anger
"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.",anger
"good morning gantengnya aku ;3 iya maaf aku baru bangun jadi gabisa nemenin kamu sarapan, makasih loj udah buatin aku sarapan, pasti enak banget apapun buatan ayang aku suka sih *malu*",love
"kalian yg udah b00ster, efeknya gimana? gue masi lama si jadwalnya, cuma kok gue takut mau ambil b00ster, gue mikir ""b00ster"" efeknya lebih horor dari yg pertama",fear
mana struknya udah dibuang lagi.. bego banget gueh,sad
"bagus banget buat akuu!! mungkin kalo suka genre drama trus genderband bakal suka fl-nya jg independent, tapi bukan tipe fl yg badass",love
"poin ke 3 kayak org bodoh ga sih? ngapain udah nikah berzinah sama wanita lain, ya di pikir aja. itu mah emang nafsu lo yang kayak gitu, sok-sok an berlindung di balik kata zinah.",anger
dua tiga lari pagi lama-lama gakuat beibih mas crush pergi aku sedih,sad
"gue pernah datang lebih awal, sebelum waktu nya malah terus malah dibilang kek gini (kurang lebih) saking jombolnya jadi punya banyak waktu luang ya? gue ga tau mesti seneng atau sedih -_- jengkel ahhh",anger
kasi garam biar enak,neutral
"suka nih netijen yang kayak gini :) otak"" detektif gw like banget",love
pengen pede buat mens team tp takut jg kesandung wkwk cmn kayany grup neraka sih inimah,fear
"sender! selamat pagii, selene mau ajukan si tristan karena cocok sama kriterianyaa. bisa jadi bro/boyfie kamu, suka kasih hugkiss sukaa banget kasih afeksi, he is full of love and very affectionate. penyayang banget bangett dan perhatian. he will take care",love
wkwkwakw ada kambing yg marah..,joy
"sender, ternyata kamu mutualku aku baru sadar. suka banget sama karyamu nder, aku sering save in hehe",love
belum nonton aja dah sedih.. sedih ga bisa baca judulnya kampret,sad
"kukira kau rumah , judulnya aja sudah sedih banget woilaahh.",sad
iya ini mah gpp kak menunda dlu karna ada alasan tertentu stdkny kdpn jg bakal pgn pnya. beda cerita klo yg bnran menolak rezeki alias kehadiran anak itu yg jd topik diskusi. sedih si tp ya itu hak mereka scr agama jelas tdk diperbolehkan.,sad
aduh jadi malu,fear
suka banget dong gw,love
kalau bad day sangat pun takde hak nak emosi kat orang lain. tak professional!,anger
"jaga kesehatan mental anda dengan lima tips sederhana inimental yang sehat, tidaklah melulu harus bahagia atau tak memiliki beban sama sekali. meskipun kita memiliki beban yang cenderung berat, akan",neutral
"iya enak banget, pas lagi mijitin sambil crita2 dan walaupun ibuk gua agak nyebelin *kadang, asik banget klo diajak deeptalk berasa seumuran..biasanya ibuk suka gini ""ehh iya tau.. ""..""trus.. trus gimana tuh.. ""..""masak sih.. tadinya bla.. bla.. ""..""saran ibuk si.. """,love
heleh padahl di hati terdalam kecewa luarbiasa,sad
sedih banget muka nya,sad
"ahh kakak suka xiao zhan to ah iya oath of love kapan tayangnyaa, padahal udah lama banget ituu ooo chemistrynya kurang ya kak berarti. wah iya chemistry nya mereka kenceng banget",love
yo enak seh gawe tandang gawe ndang mari,joy
"ini dari kemarin kepala pusing, badan pegel pegel, flu, trs hari ini tenggorokan mulai sakit kenapa yaa :(( takut bangett",fear
"bahkan dalam fisik terluka dan bathin yang sakit, ia masih bisa berkata 'aku masih sayang kamu'. tapi engkau malah memilih untuk pergi. apa hendak dikata sesal tiada arti jika sudah di akhir.",sad
ada rasa kesal ketika orang lain berprasangka atas apa yang kita kerjakan. tapi seringkali kita tidak bisa mengkonfirmasi seluruh pekerjaan yang kita lakukan,neutral
aya sedih,sad
"bener banget. gue exol dari jaman overdose. pas orang tau gue exol pada bingung gitu, kok gue masih suka sama mereka padahal mereka udah ga terkenal dan udah tua. pengen banget gue sumpel mulutnya pake kaos kaki. gue ga jawab karna takutnya jadi ribut, langsung gue tinggal aja.",anger
"gua baru sadar muka gua pas nikahan ga ada yg beres, kek terpaksa bgt senyum sampe photographernya blg biasanya penganten mah suka bgt di foto tapi kalo ini mah susah banget di foto",sad
"aku bener bener suka senyumnya mutsuki. yuki senyumnya hangat, mutsuki senyumnya black prince banget . udah gitu aku suka hubungan mutsuki sama hajime. kalau yuki-kyo sering baku hantam. mutsuki hajime justru berteman",love
yg ngmg mana cita rasa budaya indonesianya? sedih gue liat org nge - gass tp klo suruh ngaca dianya kaga demen,anger
suka banget sama a qiao!! imut lucu menggemaskan dan kuat terima kasih ga-nya!!,love
"andin aja bawa kesini,hazel masih bayi takut flu",fear
"haha, itu jaksel day ngebekas banget jadi bikin aku suka ngetik i bercampur language. t ____ t keki banget",anger
wanita mau saja dimadu asalkan sang pria mau untuk di racun.a,neutral
senasibb wahh ada less semangat yaa kak jepp jangan lupa minum air putih yang banyak!! have a great dayy,joy
"pejabat yg buat hoax tolong dipenjara, hukum jangan belaku cuma untuk rakyat kecil saja..",neutral
"dibonceng, bcs smpe skrg suka bego klo lampu merah kadang kelabas untung aja msh hidup. trs cape jg bwa mtr sndri + rada takut nyebrang klo ga modal nekat.",fear
pagi pagi luar biasa!,joy
"ada badutan ga semalem chingu, butuh badutan 2 ayang biar semangat menjalani hari",joy
harusnya cara nya bisa biasa aja. bener bener bikin speechless. gilaa,neutral
srs rasa nak main member haha takut nak mintak,fear
sedih melulu nie,sad
cinta tak suka berlama-lama dalam kesedihan. just move on! -,joy
jangan ah ak malu,fear
"sejak hari itu, ga ada satu orang pun yang gw percaya lagi. teman, sahabat, saudara, orang tua bukan orang yang tepat buat gw cerita segala senang, sedih, bahagia maupun susah gw. bahkan tuhan pun sepertinya enggan gw jadiin tempat mengadu.",sad
wkwkkw ayo semangat pantang mundur,joy
hahaha lebih enak pakek nalar daripada mikir itung itungan,joy
selamat pagi untuk jiwa jiwaa yang sepi,neutral
